Budget constraint,"@700,000","@1,500,000","@3,000,000","@4,500,000","@6,000,000"
Initiation percentage (%),0.0,0.0,0.0,1.1,3.0
Adherence capacity,0,42,620,903,938
Retention capacity,634,"1,261","1,289","1,323","1,364"
Uptake,0,0,0,"741,565","2,108,128"
Adherence,1,"107,187","1,575,642","2,297,329","2,385,074"
Retention,"699,999","1,392,813","1,424,358","1,461,106","1,506,799"
Uptake, 0.0, 0.0, 0.0,16.5,35.1
Adherence, 0.0, 7.1,52.5,51.1,39.8
Retention,100.0, 92.9, 47.5, 32.5, 25.1
10-year cumulative incidence,"1171.5 (1172.4, 1170.7)","1157.2 (1158.4, 1155.9)","1140.0 (1141.4, 1138.5)","1124.7 (1125.8, 1123.6)","1110.1 (1111.2, 1108.9)"
10-year cumulative infections averted,"27.9 (27.1, 28.8)","42.3 (41.0, 43.6)","59.5 (58.1, 60.9)","74.8 (73.7, 75.9)","89.4 (88.2, 90.6)"
Percentage 10-year cumulative infections averted (%),"2.3 (2.3, 2.4)","3.5 (3.4, 3.6)","5.0 (4.8, 5.1)","6.2 (6.1, 6.3)","7.5 (7.4, 7.6)"
Cost per infection averted (@),"25,048 (24,280, 25,840)","35,467 (34,423, 36,543)","50,405 (49,227, 51,611)","60,194 (59,327, 61,074)","67,095 (66,203, 68,000)"
